type,value,kill_chain_stage,description,confidence
domain,soulversr.com,Stage 0 - Initial Access,ClickFix lure - probable delivery vector,High (VT flagged + timing)
ip,144.31.238.37,Stage 1 - Covert Callback,FINGER protocol callback - hardcoded IP (no DNS),High (confirmed in PCAP)
port,79,Stage 1 - Covert Callback,FINGER protocol - legacy covert channel,High (confirmed in PCAP)
ip,85.137.253.64,Stage 2 - Loader/Stager,MintsLoader payload server (Werkzeug/Python Flask),High (confirmed in PCAP)
port,3456,Stage 2 - Loader/Stager,Non-standard port for payload delivery,High (confirmed in PCAP)
server_header,Werkzeug/3.1.5 Python/3.15.0a5,Stage 2 - Loader/Stager,Python Flask payload server fingerprint,High (confirmed in PCAP)
filename,main.ps1,Stage 2a - Recon Script,MintsLoader first stage - AV enumeration (12712 bytes),High (confirmed in PCAP)
filename,wgr.ps1,Stage 2b - Conditional Stage,MintsLoader second stage - conditional on AV status (15167 bytes),High (confirmed in PCAP)
session_id,ABCD111,Stage 2b - Check-in,Victim/session identifier in POST body,High (confirmed in PCAP)
user_agent,WindowsPowerShell/5.1.26100.7462,Stage 2 - Loader/Stager,Programmatic PowerShell download indicator,High (confirmed in PCAP)
domain,sbwur1.top,Stage 3 - Payload Delivery,GhostWeaver final payload delivery,High (confirmed in PCAP)
ip,64.52.80.153,Stage 3 - Payload Delivery,sbwur1.top resolved IP,High (confirmed in PCAP)
server_header,QWaWQUF8cyFhydXhS,Stage 3 - Payload Delivery,Obfuscated/custom server header,High (confirmed in PCAP)
url_pattern,/1.php?s={GUID},Stage 3 - Payload Delivery,Victim tracking via GUID in URL,High (confirmed in PCAP)
domain,gecdfcjcbcmmakk.top,Stage 3 - Payload Delivery DGA,DGA domain resolving to same IP as sbwur1.top,High (confirmed in PCAP)
domain,4ec74y9kph5vko2.top,Stage 4 - C2 DGA Primary,GhostWeaver primary C2 domain (DGA),High (confirmed in PCAP)
ip,173.232.146.62,Stage 4 - C2 Primary,Primary C2 server IP,High (confirmed in PCAP)
port,25658,Stage 4 - C2 Primary,Non-standard TLS port for C2,High (confirmed in PCAP)
domain,0auuj2cvzpntnfb.top,Stage 4 - C2 DGA Fallback,GhostWeaver fallback C2 (resolved but no TCP),High (confirmed in PCAP)
ip,45.61.136.186,Stage 4 - C2 Fallback,Fallback C2 IP (no connection established),Medium (resolved but unused)
ja3,07af4aa9e4d215a5ee63f9a0a277fbe3,Stage 4 - C2,Python TLS client library (GhostWeaver RAT),High (confirmed in PCAP)
ja3s,b74704234e6128f33bff9865696e31b3,Stage 4 - C2,C2 server TLS 1.2 fingerprint,High (confirmed in PCAP)
dga_pattern,.top with random alphanumeric prefix,Stage 4 - C2 DGA,DGA behavioral signature,High (10+ NXDOMAIN observed)
domain,cep4u3uwc8gbal7.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,gqmu7d5ydy4ygof.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,pdiyghg1yk7yvp05.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,l9qo0vy531gqlgz.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,foh7tc2lez9zyja.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,pk8hm5h1xt1ip6a.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,14v8ftqyh2sxmz1.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,3qslhqt9tjmvwje.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,rkxycm92l7bap15.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
domain,mmncjjgekdkldan.top,Stage 4 - DGA Candidate,NXDOMAIN - DGA failed attempt,High (confirmed in PCAP)
recon_service,api.ipify.org,Stage 5 - Reconnaissance,Public IP discovery (3x redundancy),Context (legitimate service abused)
recon_service,checkip.dyndns.org,Stage 5 - Reconnaissance,Public IP discovery (3x redundancy),Context (legitimate service abused)
recon_service,ipinfo.io,Stage 5 - Reconnaissance,Public IP discovery (3x redundancy),Context (legitimate service abused)
